# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cycles:u'
# Event count (approx.): 73640612235
#
#     Self  Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 IPC   [IPC Coverage]
# ........  ....................  .....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.38%  node                  [.] node::AsyncHooks::push_async_context(double, double, v8::Local<v8::Object>*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.38%  node                  [.] v8::internal::FieldIndex::ForPropertyIndex(v8::internal::Tagged<v8::internal::Map>, int, v8::internal::Representation)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.37%  [JIT] tid 240351      [.] JS:*'#flushPendingHeaders file:///root/binding-perf-v411/node_modules/@swarmmachina/swm-core/src/http-context.js:820:23                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.37%  node                  [.] v8::internal::Heap::NotifyObjectSizeChange(v8::internal::Tagged<v8::internal::HeapObject>, int, int, v8::internal::ClearRecordedSlots)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.37%  [JIT] tid 240351      [.] JS:*'reset file:///root/binding-perf-v411/node_modules/@swarmmachina/swm-core/src/body-parser.js:388:8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.36%  node                  [.] v8::Context::Global()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -
     0.34%  libc.so.6             [.] __memcmp_avx2_movbe_rtm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.34%  node                  [.] v8::internal::WriteBarrier::CombinedGenerationalAndSharedBarrierSlow(v8::internal::Tagged<v8::internal::HeapObject>, unsigned long, v8::internal::Tagged<v8::internal::HeapObject>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.34%  node                  [.] Builtins_Typeof                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.33%  node                  [.] v8::Object::Clone()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.33%  node                  [.] Builtins_EnqueueMicrotask                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.33%  node                  [.] halfsiphash(unsigned int, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.33%  node                  [.] v8::internal::JSObject::DefineOwnPropertyIgnoreAttributes(v8::internal::LookupIterator*, v8::internal::DirectHandle<v8::internal::Object>, v8::internal::PropertyAttributes, v8::Maybe<v8::internal::ShouldThrow>, v8::internal::JSObject::AccessorInfoHandling, v8::internal::EnforceDefineSemantics, v8::internal::StoreOrigin)                                                                                                                                                                                                                                                                                                                                                  -      -
     0.33%  node                  [.] v8::internal::Builtin_JsonStringify(int, unsigned long*, v8::internal::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.32%  node                  [.] void v8::internal::HeapObject::set_map<v8::internal::Isolate>(v8::internal::Isolate*, v8::internal::Tagged<v8::internal::Map>, v8::ReleaseStoreTag) [clone .constprop.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.31%  libc.so.6             [.] __strncmp_avx2_rtm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.31%  [JIT] tid 240351      [.] JS:*'Timeout node:internal/timers:179:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.31%  node                  [.] node::CallbackScope::CallbackScope(v8::Isolate*, v8::Local<v8::Object>, node::async_context)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.30%  node                  [.] v8::internal::DirectHandle<v8::internal::NameDictionary> v8::internal::HashTable<v8::internal::NameDictionary, v8::internal::NameDictionaryShape>::EnsureCapacity<v8::internal::Isolate, v8::internal::DirectHandle>(v8::internal::Isolate*, v8::internal::DirectHandle<v8::internal::NameDictionary>, int, v8::internal::AllocationType)                                                                                                                                                                                                                                                                                                                                          -      -
     0.30%  node                  [.] Builtins_JSConstructStubGeneric                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.30%  node                  [.] node::CallbackScope::~CallbackScope()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -
     0.29%  node                  [.] node::Environment::GetNowUint64()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.29%  node                  [.] v8::Maybe<bool> v8::internal::JSObject::PreventExtensionsWithTransition<(v8::internal::PropertyAttributes)5>(v8::internal::Isolate*, v8::internal::DirectHandle<v8::internal::JSObject>, v8::internal::ShouldThrow)                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.29%  node                  [.] node::AsyncHooks::pop_async_context(double)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.28%  node                  [.] Builtins_PromiseFulfillReactionJob                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.28%  libstdc++.so.6.0.33   [.] operator new(unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.28%  node-v137.node        [.] 0x000000000009ec3d                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.28%  node                  [.] v8::internal::TransitionsAccessor::SearchSpecial(v8::internal::Tagged<v8::internal::Symbol>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.27%  node                  [.] v8::TryCatch::~TryCatch()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.26%  node                  [.] Builtins_JSRunMicrotasksEntry                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.26%  node                  [.] uv__hrtime                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.26%  node                  [.] Builtins_KeyedLoadICTrampoline                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -
     0.26%  node                  [.] v8::internal::Heap::ClearKeptObjects()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.26%  node                  [.] v8::internal::LookupIterator::WriteDataValue(v8::internal::DirectHandle<v8::internal::Object>, bool)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.26%  node                  [.] v8::internal::TransitionsAccessor::SearchSpecial(v8::internal::Isolate*, v8::internal::DirectHandle<v8::internal::Map>, v8::internal::Tagged<v8::internal::Symbol>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.26%  node                  [.] void v8::internal::Heap::CopyRange<v8::internal::FullObjectSlot>(v8::internal::Tagged<v8::internal::HeapObject>, v8::internal::FullObjectSlot, v8::internal::FullObjectSlot, int, v8::internal::WriteBarrierMode)                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.26%  node                  [.] v8::internal::Factory::InitializeJSObjectBody(v8::internal::Tagged<v8::internal::JSObject>, v8::internal::Tagged<v8::internal::Map>, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.26%  node-v137.node        [.] ofats::any_detail::handler_traits<bool, uWS::HttpRouter<uWS::HttpContextData<false>::RouterData>*>::large_handler<uWS::HttpContext<false>::onHttp(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, ofats::any_invocable<void (uWS::HttpResponse<false>*, uWS::HttpRequest*)>&&, bool)::{lambda(auto:1*)#1}>::call(ofats::any_detail::storage&, uWS::HttpRouter<uWS::HttpContextData<false>::RouterData>*)                                                                                                                                                         -      -
     0.25%  node                  [.] v8::internal::FieldType::NowContains(v8::internal::Tagged<v8::internal::FieldType>, v8::internal::Tagged<v8::internal::Object>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.25%  node                  [.] v8::internal::TimerEventScope<v8::internal::TimerEventExecute>::LogTimerEvent(v8::LogEventStatus)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.25%  node                  [.] v8::internal::Factory::NewJSObject(v8::internal::DirectHandle<v8::internal::JSFunction>, v8::internal::AllocationType, v8::internal::NewJSObjectType)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -
     0.25%  node                  [.] Builtins_CEntry_Return1_ArgvOnStack_BuiltinExit                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.24%  node                  [.] v8::internal::HandleScope::DeleteExtensions(v8::internal::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.24%  node                  [.] Builtins_WeakMapLookupHashIndex                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.24%  node                  [.] v8::internal::Factory::AllocateRawWithAllocationSite(v8::internal::DirectHandle<v8::internal::Map>, v8::internal::AllocationType, v8::internal::DirectHandle<v8::internal::AllocationSite>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.24%  node                  [.] v8::internal::FactoryBase<v8::internal::Factory>::NewStringFromOneByte(v8::base::Vector<unsigned char const>, v8::internal::AllocationType)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.24%  node                  [.] Builtins_ResolvePromise                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.24%  libc.so.6             [.] cfree@GLIBC_2.2.5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.24%  node                  [.] Builtins_CallFunction_ReceiverIsNullOrUndefined                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.24%  node                  [.] Builtins_FulfillPromise                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.23%  node                  [.] v8::internal::PerThreadAssertScope<true, (v8::internal::PerThreadAssertType)2>::IsAllowed()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.22%  node                  [.] v8::Value::IsFunction() const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.22%  node                  [.] v8::internal::(anonymous namespace)::SetInternalizedReference(v8::internal::Isolate*, v8::internal::Tagged<v8::internal::String>, v8::internal::Tagged<v8::internal::String>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.22%  node                  [.] v8::internal::(anonymous namespace)::IterateObjectCache(v8::internal::Isolate*, std::vector<v8::internal::Tagged<v8::internal::Object>, std::allocator<v8::internal::Tagged<v8::internal::Object> > >*, v8::internal::Root, v8::internal::RootVisitor*)                                                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.21%  node                  [.] v8::internal::Handle<v8::internal::FixedArray> v8::internal::Factory::CopyArrayWithMap<v8::internal::FixedArray>(v8::internal::DirectHandle<v8::internal::FixedArray>, v8::internal::DirectHandle<v8::internal::Map>, v8::internal::AllocationType)                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.21%  node                  [.] v8::EscapableHandleScopeBase::EscapableHandleScopeBase(v8::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.21%  node                  [.] v8::internal::Object::StrictEquals(v8::internal::Tagged<v8::internal::Object>, v8::internal::Tagged<v8::internal::Object>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.21%  node                  [.] v8::internal::Isolate::ClearKeptObjects()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.21%  node                  [.] v8::internal::JSObject::IsExtensible(v8::internal::Isolate*, v8::internal::DirectHandle<v8::internal::JSObject>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.20%  node                  [.] v8::HandleScope::~HandleScope()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.20%  node                  [.] v8::internal::DirectHandle<v8::internal::NameDictionary> v8::internal::Dictionary<v8::internal::NameDictionary, v8::internal::NameDictionaryShape>::Add<v8::internal::Isolate, v8::internal::DirectHandle, (v8::internal::AllocationType)0>(v8::internal::Isolate*, v8::internal::DirectHandle<v8::internal::NameDictionary>, v8::internal::DirectHandle<v8::internal::Name>, v8::internal::DirectHandle<v8::internal::Object>, v8::internal::PropertyDetails, v8::internal::InternalIndex*)                                                                                                                                                                                       -      -
     0.20%  node                  [.] v8::internal::DirectHandle<v8::internal::NameDictionary> v8::internal::BaseNameDictionary<v8::internal::NameDictionary, v8::internal::NameDictionaryShape>::Add<v8::internal::DirectHandle>(v8::internal::Isolate*, v8::internal::DirectHandle<v8::internal::NameDictionary>, v8::internal::DirectHandle<v8::internal::Name>, v8::internal::DirectHandle<v8::internal::Object>, v8::internal::PropertyDetails, v8::internal::InternalIndex*)                                                                                                                                                                                                                                       -      -
     0.20%  node                  [.] v8::internal::MicrotaskQueue::PerformCheckpoint(v8::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.20%  node                  [.] v8::internal::Object::TransitionAndWriteDataProperty(v8::internal::LookupIterator*, v8::internal::DirectHandle<v8::internal::Object>, v8::internal::PropertyAttributes, v8::Maybe<v8::internal::ShouldThrow>, v8::internal::StoreOrigin)                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -
